,instant,dteday,season,yr,mnth,hr,holiday,weekday,workingday,weathersit,temp,atemp,hum,windspeed,casual,registered,total_rental,rasio_casual_registered
0,1,2011-01-01,springer,2011,1,0,0,6,0,1,0.24,0.2879,0.81,0.0,3,13,16,0.23076923076923078
1,2,2011-01-01,springer,2011,1,1,0,6,0,1,0.22,0.2727,0.8,0.0,8,32,40,0.25
2,3,2011-01-01,springer,2011,1,2,0,6,0,1,0.22,0.2727,0.8,0.0,5,27,32,0.18518518518518517
3,4,2011-01-01,springer,2011,1,3,0,6,0,1,0.24,0.2879,0.75,0.0,3,10,13,0.3
4,5,2011-01-01,springer,2011,1,4,0,6,0,1,0.24,0.2879,0.75,0.0,0,1,1,0.0
5,6,2011-01-01,springer,2011,1,5,0,6,0,2,0.24,0.2576,0.75,0.0896,0,1,1,0.0
6,7,2011-01-01,springer,2011,1,6,0,6,0,1,0.22,0.2727,0.8,0.0,2,0,2,inf
7,8,2011-01-01,springer,2011,1,7,0,6,0,1,0.2,0.2576,0.86,0.0,1,2,3,0.5
8,9,2011-01-01,springer,2011,1,8,0,6,0,1,0.24,0.2879,0.75,0.0,1,7,8,0.14285714285714285
9,10,2011-01-01,springer,2011,1,9,0,6,0,1,0.32,0.3485,0.76,0.0,8,6,14,1.3333333333333333
10,11,2011-01-01,springer,2011,1,10,0,6,0,1,0.38,0.3939,0.76,0.2537,12,24,36,0.5
11,12,2011-01-01,springer,2011,1,11,0,6,0,1,0.36,0.3333,0.81,0.2836,26,30,56,0.8666666666666667
12,13,2011-01-01,springer,2011,1,12,0,6,0,1,0.42,0.4242,0.77,0.2836,29,55,84,0.5272727272727272
13,14,2011-01-01,springer,2011,1,13,0,6,0,2,0.46,0.4545,0.72,0.2985,47,47,94,1.0
14,15,2011-01-01,springer,2011,1,14,0,6,0,2,0.46,0.4545,0.72,0.2836,35,71,106,0.49295774647887325
15,16,2011-01-01,springer,2011,1,15,0,6,0,2,0.44,0.4394,0.77,0.2985,40,70,110,0.5714285714285714
16,17,2011-01-01,springer,2011,1,16,0,6,0,2,0.42,0.4242,0.82,0.2985,41,52,93,0.7884615384615384
17,18,2011-01-01,springer,2011,1,17,0,6,0,2,0.44,0.4394,0.82,0.2836,15,52,67,0.28846153846153844
18,19,2011-01-01,springer,2011,1,18,0,6,0,3,0.42,0.4242,0.88,0.2537,9,26,35,0.34615384615384615
19,20,2011-01-01,springer,2011,1,19,0,6,0,3,0.42,0.4242,0.88,0.2537,6,31,37,0.1935483870967742
20,21,2011-01-01,springer,2011,1,20,0,6,0,2,0.4,0.4091,0.87,0.2537,11,25,36,0.44
21,22,2011-01-01,springer,2011,1,21,0,6,0,2,0.4,0.4091,0.87,0.194,3,31,34,0.0967741935483871
22,23,2011-01-01,springer,2011,1,22,0,6,0,2,0.4,0.4091,0.94,0.2239,11,17,28,0.6470588235294118
23,24,2011-01-01,springer,2011,1,23,0,6,0,2,0.46,0.4545,0.88,0.2985,15,24,39,0.625
24,25,2011-01-02,springer,2011,1,0,0,0,0,2,0.46,0.4545,0.88,0.2985,4,13,17,0.3076923076923077
25,26,2011-01-02,springer,2011,1,1,0,0,0,2,0.44,0.4394,0.94,0.2537,1,16,17,0.0625
26,27,2011-01-02,springer,2011,1,2,0,0,0,2,0.42,0.4242,1.0,0.2836,1,8,9,0.125
27,28,2011-01-02,springer,2011,1,3,0,0,0,2,0.46,0.4545,0.94,0.194,2,4,6,0.5
28,29,2011-01-02,springer,2011,1,4,0,0,0,2,0.46,0.4545,0.94,0.194,2,1,3,2.0
