,instant,dteday,season,yr,mnth,holiday,weekday,workingday,weathersit,temp,atemp,hum,windspeed,casual,registered,total_rental,rasio_casual_registered
0,1,2011-01-01,springer,2011,1,0,6,0,2,0.344167,0.363625,0.805833,0.160446,331,654,985,0.5061162079510704
1,2,2011-01-02,springer,2011,1,0,0,0,2,0.363478,0.353739,0.696087,0.248539,131,670,801,0.19552238805970149
2,3,2011-01-03,springer,2011,1,0,1,1,1,0.196364,0.189405,0.437273,0.248309,120,1229,1349,0.09764035801464606
3,4,2011-01-04,springer,2011,1,0,2,1,1,0.2,0.212122,0.590435,0.160296,108,1454,1562,0.07427785419532325
4,5,2011-01-05,springer,2011,1,0,3,1,1,0.226957,0.22927,0.436957,0.1869,82,1518,1600,0.05401844532279315
5,6,2011-01-06,springer,2011,1,0,4,1,1,0.204348,0.233209,0.518261,0.0895652,88,1518,1606,0.057971014492753624
6,7,2011-01-07,springer,2011,1,0,5,1,2,0.196522,0.208839,0.498696,0.168726,148,1362,1510,0.10866372980910426
7,8,2011-01-08,springer,2011,1,0,6,0,2,0.165,0.162254,0.535833,0.266804,68,891,959,0.07631874298540965
8,9,2011-01-09,springer,2011,1,0,0,0,1,0.138333,0.116175,0.434167,0.36195,54,768,822,0.0703125
9,10,2011-01-10,springer,2011,1,0,1,1,1,0.150833,0.150888,0.482917,0.223267,41,1280,1321,0.03203125
10,11,2011-01-11,springer,2011,1,0,2,1,2,0.169091,0.191464,0.686364,0.122132,43,1220,1263,0.03524590163934426
11,12,2011-01-12,springer,2011,1,0,3,1,1,0.172727,0.160473,0.599545,0.304627,25,1137,1162,0.02198768689533861
12,13,2011-01-13,springer,2011,1,0,4,1,1,0.165,0.150883,0.470417,0.301,38,1368,1406,0.027777777777777776
13,14,2011-01-14,springer,2011,1,0,5,1,1,0.16087,0.188413,0.537826,0.126548,54,1367,1421,0.03950256035113387
14,15,2011-01-15,springer,2011,1,0,6,0,2,0.233333,0.248112,0.49875,0.157963,222,1026,1248,0.21637426900584794
15,16,2011-01-16,springer,2011,1,0,0,0,1,0.231667,0.234217,0.48375,0.188433,251,953,1204,0.2633788037775446
16,17,2011-01-17,springer,2011,1,1,1,0,2,0.175833,0.176771,0.5375,0.194017,117,883,1000,0.13250283125707815
17,18,2011-01-18,springer,2011,1,0,2,1,2,0.216667,0.232333,0.861667,0.146775,9,674,683,0.013353115727002967
18,19,2011-01-19,springer,2011,1,0,3,1,2,0.292174,0.298422,0.741739,0.208317,78,1572,1650,0.04961832061068702
19,20,2011-01-20,springer,2011,1,0,4,1,2,0.261667,0.25505,0.538333,0.195904,83,1844,1927,0.045010845986984814
20,21,2011-01-21,springer,2011,1,0,5,1,1,0.1775,0.157833,0.457083,0.353242,75,1468,1543,0.05108991825613079
21,22,2011-01-22,springer,2011,1,0,6,0,1,0.0591304,0.0790696,0.4,0.17197,93,888,981,0.10472972972972973
22,23,2011-01-23,springer,2011,1,0,0,0,1,0.0965217,0.0988391,0.436522,0.2466,150,836,986,0.17942583732057416
23,24,2011-01-24,springer,2011,1,0,1,1,1,0.0973913,0.11793,0.491739,0.15833,86,1330,1416,0.06466165413533835
24,25,2011-01-25,springer,2011,1,0,2,1,2,0.223478,0.234526,0.616957,0.129796,186,1799,1985,0.10339077265147303
25,26,2011-01-26,springer,2011,1,0,3,1,3,0.2175,0.2036,0.8625,0.29385,34,472,506,0.07203389830508475
26,27,2011-01-27,springer,2011,1,0,4,1,1,0.195,0.2197,0.6875,0.113837,15,416,431,0.036057692307692304
27,28,2011-01-28,springer,2011,1,0,5,1,2,0.203478,0.223317,0.793043,0.1233,38,1129,1167,0.03365810451727192
28,29,2011-01-29,springer,2011,1,0,6,0,1,0.196522,0.212126,0.651739,0.145365,123,975,1098,0.12615384615384614
29,30,2011-01-30,springer,2011,1,0,0,0,1,0.216522,0.250322,0.722174,0.0739826,140,956,1096,0.14644351464435146
30,31,2011-01-31,springer,2011,1,0,1,1,2,0.180833,0.18625,0.60375,0.187192,42,1459,1501,0.02878684030157642
31,32,2011-02-01,springer,2011,2,0,2,1,2,0.192174,0.23453,0.829565,0.053213,47,1313,1360,0.0357958872810358
32,33,2011-02-02,springer,2011,2,0,3,1,2,0.26,0.254417,0.775417,0.264308,72,1454,1526,0.04951856946354883
33,34,2011-02-03,springer,2011,2,0,4,1,1,0.186957,0.177878,0.437826,0.277752,61,1489,1550,0.0409670920080591
34,35,2011-02-04,springer,2011,2,0,5,1,2,0.211304,0.228587,0.585217,0.127839,88,1620,1708,0.05432098765432099
35,36,2011-02-05,springer,2011,2,0,6,0,2,0.233333,0.243058,0.929167,0.161079,100,905,1005,0.11049723756906077
36,37,2011-02-06,springer,2011,2,0,0,0,1,0.285833,0.291671,0.568333,0.1418,354,1269,1623,0.2789598108747045
37,38,2011-02-07,springer,2011,2,0,1,1,1,0.271667,0.303658,0.738333,0.0454083,120,1592,1712,0.07537688442211055
38,39,2011-02-08,springer,2011,2,0,2,1,1,0.220833,0.198246,0.537917,0.36195,64,1466,1530,0.04365620736698499
39,40,2011-02-09,springer,2011,2,0,3,1,2,0.134783,0.144283,0.494783,0.188839,53,1552,1605,0.03414948453608247
40,41,2011-02-10,springer,2011,2,0,4,1,1,0.144348,0.149548,0.437391,0.221935,47,1491,1538,0.031522468142186455
41,42,2011-02-11,springer,2011,2,0,5,1,1,0.189091,0.213509,0.506364,0.10855,149,1597,1746,0.09329993738259236
42,43,2011-02-12,springer,2011,2,0,6,0,1,0.2225,0.232954,0.544167,0.203367,288,1184,1472,0.24324324324324326
43,44,2011-02-13,springer,2011,2,0,0,0,1,0.316522,0.324113,0.457391,0.260883,397,1192,1589,0.33305369127516776
44,45,2011-02-14,springer,2011,2,0,1,1,1,0.415,0.39835,0.375833,0.417908,208,1705,1913,0.1219941348973607
45,46,2011-02-15,springer,2011,2,0,2,1,1,0.266087,0.254274,0.314348,0.291374,140,1675,1815,0.08358208955223881
46,47,2011-02-16,springer,2011,2,0,3,1,1,0.318261,0.3162,0.423478,0.251791,218,1897,2115,0.11491829204006326
47,48,2011-02-17,springer,2011,2,0,4,1,1,0.435833,0.428658,0.505,0.230104,259,2216,2475,0.11687725631768953
48,49,2011-02-18,springer,2011,2,0,5,1,1,0.521667,0.511983,0.516667,0.264925,579,2348,2927,0.24659284497444633
49,50,2011-02-19,springer,2011,2,0,6,0,1,0.399167,0.391404,0.187917,0.507463,532,1103,1635,0.4823209428830462
50,51,2011-02-20,springer,2011,2,0,0,0,1,0.285217,0.27733,0.407826,0.223235,639,1173,1812,0.5447570332480819
51,52,2011-02-21,springer,2011,2,1,1,0,2,0.303333,0.284075,0.605,0.307846,195,912,1107,0.2138157894736842
52,53,2011-02-22,springer,2011,2,0,2,1,1,0.182222,0.186033,0.577778,0.195683,74,1376,1450,0.05377906976744186
53,54,2011-02-23,springer,2011,2,0,3,1,1,0.221739,0.245717,0.423043,0.094113,139,1778,1917,0.078177727784027
54,55,2011-02-24,springer,2011,2,0,4,1,2,0.295652,0.289191,0.697391,0.250496,100,1707,1807,0.05858230814294083
55,56,2011-02-25,springer,2011,2,0,5,1,2,0.364348,0.350461,0.712174,0.346539,120,1341,1461,0.0894854586129754
56,57,2011-02-26,springer,2011,2,0,6,0,1,0.2825,0.282192,0.537917,0.186571,424,1545,1969,0.2744336569579288
57,58,2011-02-27,springer,2011,2,0,0,0,1,0.343478,0.351109,0.68,0.125248,694,1708,2402,0.4063231850117096
58,59,2011-02-28,springer,2011,2,0,1,1,2,0.407273,0.400118,0.876364,0.289686,81,1365,1446,0.05934065934065934
59,60,2011-03-01,springer,2011,3,0,2,1,1,0.266667,0.263879,0.535,0.216425,137,1714,1851,0.07992998833138856
60,61,2011-03-02,springer,2011,3,0,3,1,1,0.335,0.320071,0.449583,0.307833,231,1903,2134,0.12138728323699421
61,62,2011-03-03,springer,2011,3,0,4,1,1,0.198333,0.200133,0.318333,0.225754,123,1562,1685,0.07874519846350832
62,63,2011-03-04,springer,2011,3,0,5,1,2,0.261667,0.255679,0.610417,0.203346,214,1730,1944,0.12369942196531791
63,64,2011-03-05,springer,2011,3,0,6,0,2,0.384167,0.378779,0.789167,0.251871,640,1437,2077,0.4453723034098817
64,65,2011-03-06,springer,2011,3,0,0,0,2,0.376522,0.366252,0.948261,0.343287,114,491,605,0.23217922606924643
65,66,2011-03-07,springer,2011,3,0,1,1,1,0.261739,0.238461,0.551304,0.341352,244,1628,1872,0.14987714987714987
66,67,2011-03-08,springer,2011,3,0,2,1,1,0.2925,0.3024,0.420833,0.12065,316,1817,2133,0.17391304347826086
67,68,2011-03-09,springer,2011,3,0,3,1,2,0.295833,0.286608,0.775417,0.22015,191,1700,1891,0.11235294117647059
